district,distname,campus,campname,type,alt_ed,charter,county,total,mobility,low_inc,lep,sped,rating,yrs_ir
'057903,CARROLLTON-FARMERS BRANCH ISD,'057903044,LONG MIDDLE,M,N,N,DALLAS,623,15.9,76.1,26.6,10.6,Met Standard,
'057903,CARROLLTON-FARMERS BRANCH ISD,'057903045,BLALACK MIDDLE,M,N,N,DALLAS,969,10.5,51,17.3,11.8,Met Standard,
'057903,CARROLLTON-FARMERS BRANCH ISD,'057903046,POLK MIDDLE,M,N,N,DALLAS,1061,14.4,72,27,11.4,Met Standard,
'057903,CARROLLTON-FARMERS BRANCH ISD,'057903047,BUSH MIDDLE,M,N,N,DALLAS,689,21.7,59.1,9.4,10.6,Met Standard,
'057903,CARROLLTON-FARMERS BRANCH ISD,'057903102,CARROLLTON EL,E,N,N,DALLAS,591,14.1,87.6,71.4,12,Met Standard,
'057903,CARROLLTON-FARMERS BRANCH ISD,'057903103,CENTRAL EL,E,N,N,DALLAS,581,12.3,91.4,73.1,9,Met Standard,
'057903,CARROLLTON-FARMERS BRANCH ISD,'057903105,GOOD EL,E,N,N,DALLAS,527,8.8,81.6,60.2,13.1,Met Standard,
'057903,CARROLLTON-FARMERS BRANCH ISD,'057903106,STARK EL,E,N,N,DALLAS,745,12.3,48.7,44.3,6.7,Met Standard,
'057903,CARROLLTON-FARMERS BRANCH ISD,'057903109,FARMERS BRANCH EL,E,N,N,DALLAS,550,5.8,80.9,46,18,Met Standard,
'057903,CARROLLTON-FARMERS BRANCH ISD,'057903110,BLANTON EL,E,N,N,DALLAS,419,13.7,79.5,53.9,11.5,Met Standard,
'057903,CARROLLTON-FARMERS BRANCH ISD,'057903111,THOMPSON EL,E,N,N,DALLAS,541,10.1,70.1,41.4,10.5,Met Standard,
'057903,CARROLLTON-FARMERS BRANCH ISD,'057903112,COUNTRY PLACE EL,E,N,N,DALLAS,412,7.6,48.5,15.3,21.4,Met Standard,
'057903,CARROLLTON-FARMERS BRANCH ISD,'057903113,DAVIS EL,E,N,N,DALLAS,535,11.9,82.6,54.4,12.9,Met Standard,
'057903,CARROLLTON-FARMERS BRANCH ISD,'057903114,MCCOY EL,E,N,N,DALLAS,441,9.4,37.4,12.2,11.1,Met Standard,
'057903,CARROLLTON-FARMERS BRANCH ISD,'057903116,FURNEAUX EL,E,N,N,DALLAS,454,9,67.4,26.4,17.4,Met Standard,
'057903,CARROLLTON-FARMERS BRANCH ISD,'057903117,HUIE SPECIAL EDUC CTR,S,N,N,DALLAS,15,10.5,60,6.7,100,Not Rated,
'057903,CARROLLTON-FARMERS BRANCH ISD,'057903118,ROSEMEADE EL,E,N,N,DALLAS,445,8.8,44.5,16.4,13.9,Met Standard,
'057903,CARROLLTON-FARMERS BRANCH ISD,'057903120,LAS COLINAS EL,E,N,N,DALLAS,549,18.8,24.4,20.6,10.6,Met Standard,
'057903,CARROLLTON-FARMERS BRANCH ISD,'057903121,LANDRY EL,E,N,N,DALLAS,335,21.4,78.5,12.2,8.7,Met Standard,
'057903,CARROLLTON-FARMERS BRANCH ISD,'057903122,KENT EL,E,N,N,DALLAS,377,15,39.3,18.3,11.1,Met Standard,
'057903,CARROLLTON-FARMERS BRANCH ISD,'057903123,RIVERCHASE ELE,E,N,N,DALLAS,357,23,39.5,36.7,18.5,Met Standard,
'057903,CARROLLTON-FARMERS BRANCH ISD,'057903124,MCKAMY EL,E,N,N,DALLAS,474,21.4,71.9,24.5,17.5,Met Standard,
'057903,CARROLLTON-FARMERS BRANCH ISD,'057903125,SHEFFIELD EL,E,N,N,DALLAS,755,26,85.7,32.2,12.5,Met Standard,
'057903,CARROLLTON-FARMERS BRANCH ISD,'057903126,RAINWATER EL,E,N,N,DALLAS,331,15.7,50.2,11.2,17.2,Met Standard,
'057903,CARROLLTON-FARMERS BRANCH ISD,'057903128,FREEMAN EL,E,N,N,DALLAS,630,25.2,31.1,38.7,8.6,Met Standard,
'057903,CARROLLTON-FARMERS BRANCH ISD,'057903129,MCWHORTER EL,E,N,N,DALLAS,589,30.9,86.1,24.4,10.4,Met Standard,
'057903,CARROLLTON-FARMERS BRANCH ISD,'057903131,BLAIR EL,E,N,N,DALLAS,554,10.6,86.1,59,13.9,Met Standard,
'057903,CARROLLTON-FARMERS BRANCH ISD,'057903132,LA VILLITA EL,E,N,N,DALLAS,754,30.2,19,23.7,7.6,Met Standard,
'057903,CARROLLTON-FARMERS BRANCH ISD,'057903135,MCLAUGHLIN STRICKLAND EL,E,N,N,DALLAS,613,11.6,82.7,52.2,10.6,Met Standard,
'057904,CEDAR HILL ISD,'057904001,CEDAR HILL H S,S,N,N,DALLAS,1682,13.8,57.9,1.4,10.2,Met Standard,
'057904,CEDAR HILL ISD,'057904002,NINTH GRADE CENTER,S,N,N,DALLAS,575,19.5,61.7,2.8,10.8,Met Standard,
'057904,CEDAR HILL ISD,'057904003,CEDAR HILL COLLEGIATE H S,S,N,N,DALLAS,403,6,39.5,5,0,Met Standard,
'057904,CEDAR HILL ISD,'057904041,W S PERMENTER MIDDLE,M,N,N,DALLAS,820,16.1,71.5,5.9,10,Met Standard,
'057904,CEDAR HILL ISD,'057904042,BESSIE COLEMAN MIDDLE,M,N,N,DALLAS,777,17.8,64.5,7.7,10.7,Met Standard,
'057904,CEDAR HILL ISD,'057904043,CEDAR HILL COLLEGIATE ACADEMY,M,N,N,DALLAS,302,6.2,43,7,1,Met Standard,
'057904,CEDAR HILL ISD,'057904101,BRAY EL,E,N,N,DALLAS,272,13.1,64.3,2.6,5.1,Met Standard,
'057904,CEDAR HILL ISD,'057904102,PLUMMER EL,E,N,N,DALLAS,582,19.3,77.5,6.5,8.1,Met Standard,
'057904,CEDAR HILL ISD,'057904104,HIGH POINTE EL,E,N,N,DALLAS,466,22.7,77.9,6.2,4.9,Met Standard,
'057904,CEDAR HILL ISD,'057904105,HIGHLANDS EL,E,N,N,DALLAS,607,18.7,78.4,36.1,5.9,Met Standard,
'057904,CEDAR HILL ISD,'057904107,WATERFORD OAKS EL,E,N,N,DALLAS,565,23.4,71.3,5.5,12.4,Met Standard,
'057904,CEDAR HILL ISD,'057904108,LAKERIDGE EL,E,N,N,DALLAS,326,22,66.9,4.6,23.9,Met Standard,
'057904,CEDAR HILL ISD,'057904110,CEDAR HILL COLLEGIATE PREP,E,N,N,DALLAS,483,7.7,37.5,4.3,1,Met Standard,
'057905,DALLAS ISD,'057905001,BRYAN ADAMS H S,S,N,N,DALLAS,2026,17.1,88.9,32.6,9.6,Met Standard,
'057905,DALLAS ISD,'057905002,W H ADAMSON H S,S,N,N,DALLAS,1480,12.8,92.2,31.3,7,Met Standard,
'057905,DALLAS ISD,'057905003,A MACEO SMITH NEW TECH H S,S,N,N,DALLAS,363,4.5,89.8,25.3,5,Met Standard,
'057905,DALLAS ISD,'057905005,MOISES E MOLINA H S,S,N,N,DALLAS,2221,12.3,95.6,29.9,7.9,Met Standard,
'057905,DALLAS ISD,'057905006,HILLCREST H S,S,N,N,DALLAS,1126,22,77.1,32.9,7.9,Met Standard,
'057905,DALLAS ISD,'057905007,THOMAS JEFFERSON H S,S,N,N,DALLAS,1701,20.7,77.7,60.4,7.8,Met Standard,
'057905,DALLAS ISD,'057905008,JUSTIN F KIMBALL H S,S,N,N,DALLAS,1454,22.2,76.2,32,10.2,Met Standard,
'057905,DALLAS ISD,'057905009,LINCOLN HUMANITIES/COMMUNICATIONS,S,N,N,DALLAS,630,27.1,89.2,14.1,15.7,Met Standard,
'057905,DALLAS ISD,'057905011,LEARNING ALTERNATIVE CENTER FOR EM,M,N,N,DALLAS,81,99.9,60.5,43.2,16,Not Rated,
'057905,DALLAS ISD,'057905012,L G PINKSTON H S,S,N,N,DALLAS,906,26.4,90.4,36.1,11,Met Standard,
'057905,DALLAS ISD,'057905013,FRANKLIN D ROOSEVELT H S,S,N,N,DALLAS,712,32.7,93.4,30.5,8.7,Met Standard,
'057905,DALLAS ISD,'057905014,W W SAMUELL H S,S,N,N,DALLAS,1944,20.9,96.4,43.6,11.5,Met Standard,
'057905,DALLAS ISD,'057905015,SEAGOVILLE H S,S,N,N,DALLAS,1452,18.7,91.2,30.8,10.9,Met Standard,
'057905,DALLAS ISD,'057905016,SOUTH OAK CLIFF H S,S,N,N,DALLAS,1202,27.5,89.6,16.6,13.8,Met Standard,
'057905,DALLAS ISD,'057905017,H GRADY SPRUCE H S,S,N,N,DALLAS,1794,21.9,91.8,51.9,13.3,Met Standard,
'057905,DALLAS ISD,'057905018,SUNSET H S,S,N,N,DALLAS,1983,13,95.8,32.8,9.5,Met Standard,
'057905,DALLAS ISD,'057905021,W T WHITE H S,S,N,N,DALLAS,2230,15.9,81,33.2,6.6,Met Standard,
'057905,DALLAS ISD,'057905022,WOODROW WILSON H S,S,N,N,DALLAS,1865,11.3,57.6,26.2,8.5,Met Standard,
'057905,DALLAS ISD,'057905023,DAVID W CARTER H S,S,N,N,DALLAS,1135,24,73.2,21.1,11.8,Met Standard,
'057905,DALLAS ISD,'057905024,NORTH DALLAS H S,S,N,N,DALLAS,1048,25.5,92.5,37.9,11.1,Met Standard,
'057905,DALLAS ISD,'057905025,SKYLINE H S,S,N,N,DALLAS,4533,14.1,83.6,21.8,6.6,Met Standard,
'057905,DALLAS ISD,'057905026,SCHOOL OF SCIENCE AND ENGINEERING,S,N,N,DALLAS,428,0.2,60.7,3,1.2,Met Standard,
'057905,DALLAS ISD,'057905028,EMMETT J CONRAD H S,S,N,N,DALLAS,1307,20.5,75.3,54.6,9,Met Standard,
'057905,DALLAS ISD,'057905029,SCHOOL COMMUNITY GUIDANCE CENTER,S,N,N,DALLAS,125,100,70.4,24.8,10.4,Not Rated,
'057905,DALLAS ISD,'057905030,MAYA ANGELOU H S,S,Y,N,DALLAS,24,87.5,95.8,16.7,12.5,Not Rated,
'057905,DALLAS ISD,'057905032,JAMES MADISON H S,S,N,N,DALLAS,470,28.7,96.8,27.2,12.1,Met Standard,
'057905,DALLAS ISD,'057905033,SCHOOL OF BUSINESS AND MANAGEMENT,S,N,N,DALLAS,491,2,79.4,9.8,0,Met Standard,
'057905,DALLAS ISD,'057905034,BOOKER T WASHINGTON SPVA MAGNET,S,N,N,DALLAS,1002,1.9,32.6,1.2,1,Met Standard,
'057905,DALLAS ISD,'057905035,IRMA LERMA RANGEL YOUNG WOMEN'S LE,S,N,N,DALLAS,244,0.7,85.7,0.4,0,Met Standard,
'057905,DALLAS ISD,'057905036,SCHOOL OF HEALTH PROFESSIONS,S,N,N,DALLAS,546,1.4,82.4,7.1,0.2,Met Standard,
'057905,DALLAS ISD,'057905037,ROSIE SORRELLS EDUCATION AND SOCIA,S,N,N,DALLAS,331,2.4,76.7,12.4,0.6,Met Standard,
'057905,DALLAS ISD,'057905038,JUDGE BAREFOOT SANDERS LAW MAGNET,S,N,N,DALLAS,403,3.3,82.1,9.9,0,Met Standard,
'057905,DALLAS ISD,'057905039,SCHOOL FOR THE TALENTED AND GIFTED,S,N,N,DALLAS,276,1.1,40.6,2.2,0.4,Met Standard,
'057905,DALLAS ISD,'057905042,WILLIAM HAWLEY ATWELL LAW ACADEMY,M,N,N,DALLAS,819,31.4,80.7,18.9,11.1,Improvement Required,1
'057905,DALLAS ISD,'057905043,T W BROWNE MIDDLE,M,N,N,DALLAS,540,29,96.7,39.1,10.6,Met Standard,
'057905,DALLAS ISD,'057905044,EDWARD H CARY MIDDLE,M,N,N,DALLAS,598,18.4,91.3,74.6,8.9,Met Standard,
'057905,DALLAS ISD,'057905045,E B COMSTOCK MIDDLE,M,N,N,DALLAS,846,24.5,96.2,52.1,11.2,Met Standard,
'057905,DALLAS ISD,'057905046,YOUNG MEN'S LEADERSHIP ACADEMY AT,M,N,N,DALLAS,952,21.5,80.9,56,11.9,Met Standard,
'057905,DALLAS ISD,'057905047,BENJAMIN FRANKLIN MIDDLE,M,N,N,DALLAS,1035,17.4,80.1,56.2,8.3,Met Standard,
'057905,DALLAS ISD,'057905048,W H GASTON MIDDLE,M,N,N,DALLAS,979,16.6,97.4,54.4,10.6,Met Standard,
'057905,DALLAS ISD,'057905049,W E GREINER EXPLORATORY ARTS ACADE,M,N,N,DALLAS,1721,7.1,77.7,43.9,6.2,Met Standard,
'057905,DALLAS ISD,'057905050,ROBERT T HILL MIDDLE,M,N,N,DALLAS,894,16.8,94.4,55,8.7,Met Standard,
'057905,DALLAS ISD,'057905051,OLIVER WENDELL HOLMES HUMANITIES/C,M,N,N,DALLAS,806,26.9,84.5,29.5,11.5,Improvement Required,1
'057905,DALLAS ISD,'057905052,PIEDMONT GLOBAL ACADEMY,M,N,N,DALLAS,1006,18,97.3,61.3,11.3,Met Standard,
'057905,DALLAS ISD,'057905053,J L LONG MIDDLE,M,N,N,DALLAS,1479,11.1,67,33,11.3,Met Standard,
'057905,DALLAS ISD,'057905054,THOMAS C MARSH MIDDLE,M,N,N,DALLAS,917,13.1,92.3,71.5,6.3,Met Standard,
'057905,DALLAS ISD,'057905055,THOMAS J RUSK MIDDLE,M,N,N,DALLAS,647,29.7,97.5,59.7,13.1,Met Standard,
'057905,DALLAS ISD,'057905056,EWELL D WALKER MIDDLE,M,N,N,DALLAS,761,20.3,80.8,48.9,8,Met Standard,
'057905,DALLAS ISD,'057905057,WILLIAM B TRAVIS ACAD/VANGRD FOR A,M,N,N,DALLAS,312,1.7,26.6,4.5,0.3,Met Standard,
'057905,DALLAS ISD,'057905058,ALEX W SPENCE TALENTED/GIFTED ACAD,M,N,N,DALLAS,735,19.8,80,33.7,8.2,Met Standard,
'057905,DALLAS ISD,'057905059,L V STOCKARD MIDDLE,M,N,N,DALLAS,1156,15.8,94,56.4,8.7,Met Standard,
'057905,DALLAS ISD,'057905060,BOUDE STOREY MIDDLE,M,N,N,DALLAS,589,27.1,98.3,37,15.6,Met Standard,
'057905,DALLAS ISD,'057905062,BILLY EARL DADE MIDDLE,M,N,N,DALLAS,894,31.4,96.9,26.4,14.1,Met Standard,
'057905,DALLAS ISD,'057905066,HARRY STONE MONTESSORI ACADEMY,M,N,N,DALLAS,230,0,75.7,22.2,2.6,Met Standard,
'057905,DALLAS ISD,'057905068,RAUL QUINTANILLA SR MIDDLE,M,N,N,DALLAS,1054,15.6,95.4,59.8,10.3,Met Standard,
'057905,DALLAS ISD,'057905069,SEAGOVILLE MIDDLE,M,N,N,DALLAS,1363,17.9,83.4,50.1,10.4,Met Standard,
'057905,DALLAS ISD,'057905071,DALLAS ENVIRONMENTAL SCIENCE ACADE,M,N,N,DALLAS,443,0.9,87.8,29.1,0.5,Met Standard,
'057905,DALLAS ISD,'057905072,SARAH ZUMWALT MIDDLE,M,N,N,DALLAS,417,40.8,92.1,17.5,9.8,Met Standard,
'057905,DALLAS ISD,'057905073,HENRY W LONGFELLOW CAREER EXPLORAT,M,N,N,DALLAS,421,1.4,85.7,27.8,0.7,Met Standard,
'057905,DALLAS ISD,'057905074,THOMAS A EDISON MIDDLE LEARNING CE,M,N,N,DALLAS,553,27.7,88.6,33.6,12.5,Met Standard,
'057905,DALLAS ISD,'057905075,GEORGE BANNERMAN DEALEY INTERNATIO,M,N,N,DALLAS,170,1.1,47.1,4.1,2.4,Met Standard,
'057905,DALLAS ISD,'057905076,HAROLD WENDELL LANG SR MIDDLE,M,N,N,DALLAS,907,32.7,84.9,44.4,10.1,Met Standard,
'057905,DALLAS ISD,'057905077,HECTOR P GARCIA MIDDLE,M,N,N,DALLAS,763,17.4,93.7,59.4,10.5,Met Standard,
'057905,DALLAS ISD,'057905079,FRANCISCO MEDRANO MIDDLE,M,N,N,DALLAS,962,19.8,98.2,75.2,9.6,Met Standard,
'057905,DALLAS ISD,'057905083,SAM TASBY MIDDLE,M,N,N,DALLAS,969,25.7,97.8,76.2,9.8,Met Standard,
'057905,DALLAS ISD,'057905085,KATHLYN JOY GILLIAM COLLEGIATE ACA,S,N,N,DALLAS,346,5.1,81.8,16.8,0.3,Met Standard,
'057905,DALLAS ISD,'057905088,TRINIDAD GARZA EARLY COLLEGE AT MT,S,N,N,DALLAS,432,5.2,84,8.1,0.7,Met Standard,
'057905,DALLAS ISD,'057905090,DR WRIGHT L LASSITER JR EARLY COLL,S,N,N,DALLAS,226,1.3,85.4,8.4,0.9,Met Standard,
'057905,DALLAS ISD,'057905096,JUVENILE JUSTICE AEP,B,N,N,DALLAS,11,100,18.2,63.6,18.2,Not Rated,
'057905,DALLAS ISD,'057905099,HOSPITAL/HOMEBOUND,B,Y,N,DALLAS,72,99.4,58.3,12.5,1.4,Not Rated,
'057905,DALLAS ISD,'057905100,ZAN WESLEY HOLMES JR MIDDLE,M,N,N,DALLAS,952,11.7,88.4,61.1,9.1,Met Standard,
'057905,DALLAS ISD,'057905101,JOHN Q ADAMS EL,E,N,N,DALLAS,749,12,95.2,65.8,8.4,Met Standard,
'057905,DALLAS ISD,'057905102,PREK PARTNERSHIP CENTER,E,N,N,DALLAS,1912,,99.4,14,1.5,Met Standard,
'057905,DALLAS ISD,'057905103,GABE P ALLEN CHARTER SCHOOL,E,N,N,DALLAS,471,17.5,96.4,34.2,10.4,Met Standard,
'057905,DALLAS ISD,'057905104,WILLIAM M ANDERSON EL,E,N,N,DALLAS,680,15.3,94.6,69.7,5.1,Met Standard,
'057905,DALLAS ISD,'057905105,ARCADIA PARK EL,E,N,N,DALLAS,652,15.2,96.6,58.6,7.5,Met Standard,
'057905,DALLAS ISD,'057905107,JOSE 'JOE' MAY EL,E,N,N,DALLAS,684,23,97.2,81.3,7.6,Met Standard,
'057905,DALLAS ISD,'057905108,BAYLES EL,E,N,N,DALLAS,545,30.5,96.3,48.6,6.2,Met Standard,
'057905,DALLAS ISD,'057905109,W A BLAIR EL,E,N,N,DALLAS,669,26.3,77,41.4,7,Met Standard,
'057905,DALLAS ISD,'057905110,ANNIE WEBB BLANTON EL,E,N,N,DALLAS,669,17.8,88,62.6,7.6,Met Standard,
'057905,DALLAS ISD,'057905112,JAMES BOWIE EL,E,N,N,DALLAS,523,21.3,96,68.3,6.7,Met Standard,
'057905,DALLAS ISD,'057905114,JOHN NEELY BRYAN EL,E,N,N,DALLAS,414,25.7,92.3,30,9.9,Met Standard,
'057905,DALLAS ISD,'057905115,HARRELL BUDD EL,E,N,N,DALLAS,488,18.6,94.5,51,6.1,Met Standard,
'057905,DALLAS ISD,'057905116,DAVID G BURNET EL,E,N,N,DALLAS,702,16.4,99.6,86,5,Met Standard,
'057905,DALLAS ISD,'057905117,RUFUS C BURLESON EL,E,N,N,DALLAS,684,27.9,98.4,44.9,6.7,Met Standard,
'057905,DALLAS ISD,'057905118,W W BUSHMAN EL,E,N,N,DALLAS,488,38.2,98,24.2,5.9,Met Standard,
'057905,DALLAS ISD,'057905119,WILLIAM L CABELL EL,E,N,N,DALLAS,512,12.6,91,70.1,7.2,Met Standard,
'057905,DALLAS ISD,'057905120,F P CAILLET EL,E,N,N,DALLAS,677,14.6,89.5,75.3,10.9,Met Standard,
'057905,DALLAS ISD,'057905121,JOHN W CARPENTER EL,E,N,N,DALLAS,380,36.9,94.2,20.5,8.7,Met Standard,
'057905,DALLAS ISD,'057905122,C F CARR EL,E,N,N,DALLAS,559,20.3,93.4,23.1,8.9,Met Standard,
'057905,DALLAS ISD,'057905125,CASA VIEW EL,E,N,N,DALLAS,715,14.8,85,58.7,11.6,Met Standard,
'057905,DALLAS ISD,'057905126,CENTRAL EL,E,N,N,DALLAS,587,17.6,87.1,34.9,12.1,Met Standard,
'057905,DALLAS ISD,'057905128,MARTIN LUTHER KING JR LEARNING CEN,E,N,N,DALLAS,439,40.5,99.8,21.2,5.2,Met Standard,
'057905,DALLAS ISD,'057905129,S S CONNER EL,E,N,N,DALLAS,631,37.8,88.6,38.4,8.6,Met Standard,
'057905,DALLAS ISD,'057905130,LEILA P COWART EL,E,N,N,DALLAS,578,10.4,93.6,63.5,9.2,Met Standard,
'057905,DALLAS ISD,'057905131,IGNACIO ZARAGOZA EL,E,N,N,DALLAS,327,22.7,94.2,63,10.4,Met Standard,
'057905,DALLAS ISD,'057905133,BARBARA JORDAN EL,E,N,N,DALLAS,613,11.8,93.3,66.9,6.5,Met Standard,
'057905,DALLAS ISD,'057905134,GEORGE BANNERMAN DEALEY MONTESSORI,E,N,N,DALLAS,441,0.8,27.4,4.1,5.2,Met Standard,
'057905,DALLAS ISD,'057905135,EVERETTE LEE DEGOLYER EL,E,N,N,DALLAS,365,7.6,64.9,41.1,8.8,Met Standard,
'057905,DALLAS ISD,'057905136,L O DONALD EL,E,N,N,DALLAS,411,10.9,93.4,58.9,9.5,Met Standard,
'057905,DALLAS ISD,'057905137,JULIUS DORSEY EL,E,N,N,DALLAS,508,19.7,90.2,62.8,7.3,Met Standard,
'057905,DALLAS ISD,'057905139,PAUL L DUNBAR LEARNING CENTER,E,N,N,DALLAS,570,28.7,95.6,13,10.5,Met Standard,
'057905,DALLAS ISD,'057905141,JILL STONE EL AT VICKERY MEADOW,E,N,N,DALLAS,347,22.1,94.2,83.9,5.5,Met Standard,
'057905,DALLAS ISD,'057905142,J N ERVIN EL,E,N,N,DALLAS,603,34.6,98.2,12.1,9,Met Standard,
'057905,DALLAS ISD,'057905144,TOM W FIELD EL,E,N,N,DALLAS,263,33.3,96.6,64.3,8.7,Met Standard,
'057905,DALLAS ISD,'057905145,STEPHEN C FOSTER EL,E,N,N,DALLAS,725,17.6,94.3,77.9,12.6,Met Standard,
'057905,DALLAS ISD,'057905147,CHARLES A GILL EL,E,N,N,DALLAS,891,26.5,91.6,55.9,7,Met Standard,
'057905,DALLAS ISD,'057905148,TOM C GOOCH EL,E,N,N,DALLAS,428,13.9,86.9,66.4,15,Met Standard,
'057905,DALLAS ISD,'057905149,LENORE KIRK HALL EL,E,N,N,DALLAS,504,8.4,91.7,70,5.4,Met Standard,
'057905,DALLAS ISD,'057905152,MARGARET B HENDERSON EL,E,N,N,DALLAS,487,7.5,91.4,55.6,6.8,Met Standard,
'057905,DALLAS ISD,'057905153,VICTOR H HEXTER EL,E,N,N,DALLAS,560,10.4,57.1,24.6,7,Met Standard,
'057905,DALLAS ISD,'057905154,LARRY G SMITH EL,E,N,N,DALLAS,776,15.6,91.9,52.8,9.8,Met Standard,
'057905,DALLAS ISD,'057905155,C A TATUM JR EL,E,N,N,DALLAS,514,27,95.5,42,11.3,Met Standard,
'057905,DALLAS ISD,'057905156,NATHANIEL HAWTHORNE EL,E,N,N,DALLAS,482,12,94,66.4,10.2,Met Standard,
'057905,DALLAS ISD,'057905157,JAMES S HOGG EL,E,N,N,DALLAS,279,11.4,89.2,47.3,15.4,Met Standard,
'057905,DALLAS ISD,'057905158,LIDA HOOE EL,E,N,N,DALLAS,418,9.5,90.4,44.3,6.9,Met Standard,
'057905,DALLAS ISD,'057905159,L L HOTCHKISS EL,E,N,N,DALLAS,754,28.6,97.7,61.1,6.1,Met Standard,
'057905,DALLAS ISD,'057905160,SAM HOUSTON EL,E,N,N,DALLAS,204,25.7,77.5,61.8,9.8,Met Standard,
'057905,DALLAS ISD,'057905161,JOHN IRELAND EL,E,N,N,DALLAS,527,22.9,98.7,65.7,5.5,Met Standard,
'057905,DALLAS ISD,'057905162,STONEWALL JACKSON EL,E,N,N,DALLAS,651,9.1,18.9,9.5,9.4,Met Standard,
'057905,DALLAS ISD,'057905163,ALBERT SIDNEY JOHNSTON EL,E,N,N,DALLAS,410,34.6,88,28.5,11.5,Met Standard,
'057905,DALLAS ISD,'057905164,ANSON JONES EL,E,N,N,DALLAS,603,14.3,95.9,63.5,9.3,Met Standard,
'057905,DALLAS ISD,'057905166,EDWIN J KIEST EL,E,N,N,DALLAS,737,12.2,88.2,65.4,5,Met Standard,
'057905,DALLAS ISD,'057905167,KLEBERG EL,E,N,N,DALLAS,735,18.6,88.7,49.1,10.5,Met Standard,
'057905,DALLAS ISD,'057905168,OBADIAH KNIGHT EL,E,N,N,DALLAS,511,11.6,95.7,74.2,7.2,Met Standard,
'057905,DALLAS ISD,'057905169,ARTHUR KRAMER EL,E,N,N,DALLAS,615,17,60.5,38.9,10.6,Met Standard,
'057905,DALLAS ISD,'057905170,RICHARD LAGOW EL,E,N,N,DALLAS,509,15.2,92.5,51.5,5.5,Met Standard,
'057905,DALLAS ISD,'057905171,LAKEWOOD EL,E,N,N,DALLAS,924,5.2,7.7,3.6,5.1,Met Standard,
'057905,DALLAS ISD,'057905172,JIMMIE TYLER BRASHEAR EL,E,N,N,DALLAS,651,9.3,78,50.1,5.5,Met Standard,
'057905,DALLAS ISD,'057905173,SIDNEY LANIER EXPRESSIVE ARTS VANG,E,N,N,DALLAS,567,8.7,85.7,42.9,7.8,Met Standard,
'057905,DALLAS ISD,'057905174,ROBERT E LEE EL,E,N,N,DALLAS,348,14.5,59.5,25,12.6,Met Standard,
'057905,DALLAS ISD,'057905175,UMPHREY LEE EL,E,N,N,DALLAS,579,32.6,91.4,28.7,6.6,Met Standard,
'057905,DALLAS ISD,'057905176,JACK LOWE SR EL,E,N,N,DALLAS,619,17.3,95,86.4,6.3,Met Standard,
'057905,DALLAS ISD,'057905177,WILLIAM LIPSCOMB EL,E,N,N,DALLAS,511,16.5,85.5,46.6,5.9,Met Standard,
'057905,DALLAS ISD,'057905178,H I HOLLAND EL AT LISBON,E,N,N,DALLAS,412,13.4,91.7,42,8.5,Met Standard,
'057905,DALLAS ISD,'057905180,B H MACON EL,E,N,N,DALLAS,528,12.1,85.2,62.7,7.2,Met Standard,
'057905,DALLAS ISD,'057905181,MAPLE LAWN EL,E,N,N,DALLAS,447,14.8,77,70,8.9,Met Standard,
'057905,DALLAS ISD,'057905182,HERBERT MARCUS EL,E,N,N,DALLAS,780,13.6,97.3,84.7,9.7,Met Standard,
'057905,DALLAS ISD,'057905183,THOMAS L MARSALIS EL,E,N,N,DALLAS,545,23.4,93.2,18.9,5.9,Met Standard,
'057905,DALLAS ISD,'057905184,BEN MILAM EL,E,N,N,DALLAS,293,20.3,83.3,40.6,6.1,Met Standard,
'057905,DALLAS ISD,'057905185,WILLIAM B MILLER EL,E,N,N,DALLAS,360,28.1,98.1,49.4,9.2,Met Standard,
'057905,DALLAS ISD,'057905186,ROGER Q MILLS EL,E,N,N,DALLAS,322,26.9,97.8,46,5.9,Met Standard,
'057905,DALLAS ISD,'057905187,NANCY MOSELEY EL,E,N,N,DALLAS,772,14.1,93.9,61.5,11.7,Met Standard,
'057905,DALLAS ISD,'057905188,MOUNT AUBURN EL,E,N,N,DALLAS,644,14,92.9,53.4,9.2,Met Standard,
'057905,DALLAS ISD,'057905189,CLARA OLIVER EL,E,N,N,DALLAS,311,29.2,92.9,32.2,5.8,Met Standard,
'057905,DALLAS ISD,'057905190,GEORGE PEABODY EL,E,N,N,DALLAS,535,8.1,89.7,50.5,12.5,Met Standard,
'057905,DALLAS ISD,'057905191,ELISHA M PEASE EL,E,N,N,DALLAS,482,46.1,91.5,4.4,6.8,Improvement Required,1
'057905,DALLAS ISD,'057905192,JOHN F PEELER EL,E,N,N,DALLAS,323,14,92.3,71.5,5,Met Standard,
'057905,DALLAS ISD,'057905193,JOHN J PERSHING EL,E,N,N,DALLAS,517,20,92.6,61.1,9.3,Met Standard,
'057905,DALLAS ISD,'057905194,K B POLK CENTER FOR ACADEMICALLY T,E,N,N,DALLAS,348,15.8,94.3,49.1,7.5,Met Standard,
'057905,DALLAS ISD,'057905195,PRESTON HOLLOW EL,E,N,N,DALLAS,500,9.1,80.8,61,7.6,Met Standard,
'057905,DALLAS ISD,'057905196,J W RAY LEARNING CENTER,E,N,N,DALLAS,226,35.7,93.8,3.1,12.4,Met Standard,
'057905,DALLAS ISD,'057905197,JOHN H REAGAN EL,E,N,N,DALLAS,359,5.2,93.9,71.6,10.3,Met Standard,
