district,distname,campus,campname,type,alt_ed,charter,county,total,mobility,low_inc,lep,sped,rating,yrs_ir
'057804,TEXANS CAN ACADEMIES,'057804002,DALLAS CAN ACADEMY CHARTER-OAK CLI,S,Y,Y,DALLAS,689,73.2,100,23.7,8,Met Alternative Standard,
'057804,TEXANS CAN ACADEMIES,'057804003,DALLAS CAN ACADEMY AT CARROLLTON-F,S,Y,Y,DALLAS,444,78.6,96.8,45.3,8.8,Met Alternative Standard,
'057804,TEXANS CAN ACADEMIES,'057804004,DALLAS CAN ACADEMY AT PLEASANT GRO,S,Y,Y,DALLAS,568,70.5,87.7,12.3,10.6,Met Alternative Standard,
'057804,TEXANS CAN ACADEMIES,'057804005,DALLAS CAN ACADEMY - GRANT EAST,S,Y,Y,DALLAS,369,81.6,96.2,3.8,11.1,Met Alternative Standard,
'057804,TEXANS CAN ACADEMIES,'057804006,AUSTIN CAN ACADEMY,S,Y,Y,DALLAS,485,85.5,91.5,27.8,10.1,Met Alternative Standard,
'057804,TEXANS CAN ACADEMIES,'057804007,FORT WORTH CAN ACADEMY WESTCREEK,S,Y,Y,DALLAS,402,79,82.8,4.7,4,Met Alternative Standard,
'057804,TEXANS CAN ACADEMIES,'057804008,FORT WORTH CAN ACADEMY LANCASTER A,S,Y,Y,DALLAS,449,80.9,92,12.5,4,Improvement Required,1
'057804,TEXANS CAN ACADEMIES,'057804009,HOUSTON CAN ACADEMY - NORTH,S,Y,Y,DALLAS,443,67.7,76.3,7,7,Met Alternative Standard,
'057804,TEXANS CAN ACADEMIES,'057804010,HOUSTON CAN ACADEMY - HOBBY,S,Y,Y,DALLAS,412,67.3,63.3,12.9,4.9,Improvement Required,1
'057804,TEXANS CAN ACADEMIES,'057804011,SAN ANTONIO CAN ACADEMY,S,Y,Y,DALLAS,402,84.6,56,10.2,9,Met Alternative Standard,
'057804,TEXANS CAN ACADEMIES,'057804012,HOUSTON CAN ACADEMY - SOUTHWEST,S,Y,Y,DALLAS,378,73.8,86.2,10.8,3.4,Improvement Required,1
'057804,TEXANS CAN ACADEMIES,'057804013,GARLAND CAN ACADEMY,S,Y,Y,DALLAS,265,88.7,77,6,7.9,Met Alternative Standard,
'057805,LUMIN EDUCATION,'057805101,LUMIN LINDSLEY PARK COMMUNITY SCHO,E,N,Y,DALLAS,313,7.5,59.7,38,11.5,Improvement Required,1
'057806,ADVANTAGE ACADEMY,'057806101,ADVANTAGE ACADEMY,B,N,Y,DALLAS,1666,17,75.8,23.5,4.4,Met Standard,
'057807,LIFE SCHOOL,'057807001,LIFE SCHOOL OAK CLIFF,B,N,Y,DALLAS,1537,4.9,81.2,18.2,9.2,Met Standard,
'057807,LIFE SCHOOL,'057807002,LIFE H S WAXAHACHIE,S,N,Y,DALLAS,931,6.9,44.1,3.2,10.8,Met Standard,
'057807,LIFE SCHOOL,'057807041,LIFE MIDDLE WAXAHACHIE,M,N,Y,DALLAS,488,3.9,50.4,4.5,11.3,Met Standard,
'057807,LIFE SCHOOL,'057807101,LIFE SCHOOL RED OAK,E,N,Y,DALLAS,1030,8.2,45.6,5.2,7,Met Standard,
'057807,LIFE SCHOOL,'057807102,LIFE SCHOOL LANCASTER,E,N,Y,DALLAS,598,10.6,67.6,5.5,6.4,Improvement Required,1
'057807,LIFE SCHOOL,'057807104,LIFE SCHOOL CEDAR HILL,E,N,Y,DALLAS,634,12.8,59.8,7.6,5.7,Met Standard,
'057807,LIFE SCHOOL,'057807105,LIFE SCHOOL MOUNTAIN CREEK,E,N,Y,DALLAS,444,7.9,64.6,9,10.1,Improvement Required,1
'057808,UNIVERSAL ACADEMY,'057808101,UNIVERSAL ACADEMY,B,N,Y,DALLAS,775,12.4,85.5,39.5,2.7,Met Standard,
'057808,UNIVERSAL ACADEMY,'057808102,UNIVERSAL ACADEMY - COPPELL,B,N,Y,DALLAS,1385,12.7,1.4,21.1,1.8,Met Standard,
'057809,NOVA ACADEMY,'057809101,NOVA ACADEMY,E,N,Y,DALLAS,182,8,79.1,37.9,1.1,Improvement Required,1
'057810,ACADEMY OF DALLAS,'057810101,ACADEMY OF DALLAS,E,N,Y,DALLAS,432,17.4,97.5,15,9.5,Met Standard,
'057813,TRINITY BASIN PREPARATORY,'057813101,TRINITY BASIN PREPARATORY,E,N,Y,DALLAS,3151,7.8,79.1,60.9,7.6,Met Standard,
'057814,ACADEMY FOR ACADEMIC EXCELLENCE,'057814001,DALLAS COUNTY JUVENILE JUSTICE,B,Y,Y,DALLAS,290,99.2,100,22.1,25.2,Not Rated,
'057814,ACADEMY FOR ACADEMIC EXCELLENCE,'057814002,DRC CAMPUS,B,Y,Y,DALLAS,39,99.2,100,20.5,17.9,Not Rated,
'057814,ACADEMY FOR ACADEMIC EXCELLENCE,'057814003,MEDLOCK YOUTH VILLAGE,B,Y,Y,DALLAS,125,89.9,100,19.2,28,Not Rated,
'057814,ACADEMY FOR ACADEMIC EXCELLENCE,'057814004,SAU CAMPUS,S,Y,Y,DALLAS,28,100,100,35.7,17.9,Not Rated,
'057814,ACADEMY FOR ACADEMIC EXCELLENCE,'057814005,LETOT CAMPUS,B,Y,Y,DALLAS,39,100,100,12.8,15.4,Not Rated,
